,product_name,url,current_price,old_price,stars,material,type,total_reviews,avg_rating,material_clean,material_clean_list,five_stars,four_stars,three_stars,two_stars,one_stars
143,Power Y Bodysuit *Nulu,https://shop.lululemon.com/p/women-bodysuits/Power-Y-Bodysuit-Nulu-MD/_/prod9980091,49,78,"['28', '7', '2', '0', '1']","['89% Nylon', '11% Elastane', '56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '81% Nylon', '19% Lycra® elastane']",women-bodysuits,38,4.605263157894737,"['Coolmax® polyester', 'Elastane', 'Lycra® elastane', 'Nylon', 'Polyester']","Coolmax® polyester,Elastane,Lycra® elastane,Nylon,Polyester",28,7,2,0,1
144,All Tied Up Tank *Wash,https://shop.lululemon.com/p/women-tanks/All-Tied-Up-Tank-Wash-MD/_/prod9980094,29,48,"['48', '9', '7', '1', '2']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,67,4.492537313432836,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",48,9,7,1,2
145,Back In Action Long Sleeve *Veil,https://shop.lululemon.com/p/tops-long-sleeve/Back-In-Action-LS-Veil-MD/_/prod10260088,39,68,"['3', '2', '0', '0', '3']","['55% Viscose', '45% Polyester', '35% Polyester', '65% Viscose']",tops-long-sleeve,8,3.25,"['Polyester', 'Viscose']","Polyester,Viscose",3,2,0,0,3
146,Rise and Run Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Rise-and-Run-Long-Sleeve-MD/_/prod10390230,59,78,"['26', '6', '8', '3', '2']","['73% Nylon', '27% Xtra life lycra® elastane']",tops-long-sleeve,45,4.133333333333334,"['Nylon', 'Xtra life lycra® elastane']","Nylon,Xtra life lycra® elastane",26,6,8,3,2
147,Swiftly Tech 1/2 Zip 2.0 *Cool,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-12-Zip-20-Cool-MD/_/prod10280098,59,108,"['0', '0', '0', '0', '0']",['None listed'],tops-long-sleeve,0,0.0,['None listed'],None listed,0,0,0,0,0
148,Cinch it Up Tank Top,https://shop.lululemon.com/p/women-tanks/Cinch-it-Up-Tank-Top-MD/_/prod10390331,29,54,"['17', '3', '5', '0', '2']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,27,4.222222222222222,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",17,3,5,0,2
149,All Days Shirt,https://shop.lululemon.com/p/tops-long-sleeve/All-Days-Shirt-MD/_/prod10300067,39,118,"['6', '2', '3', '1', '0']","['59% Polyester', '22% Cotton', '19% Lyocell']",tops-long-sleeve,12,4.083333333333333,"['Cotton', 'Lyocell', 'Polyester']","Cotton,Lyocell,Polyester",6,2,3,1,0
150,Swiftly Breathe Crop Tank *City,https://shop.lululemon.com/p/women-tanks/Swiftly-Breathe-Crop-Tank-US-City-MD/_/prod10420051,39,54,"['8', '0', '1', '1', '0']","['64% Nylon', '33% Polyester', '3% X-static® nylon']",women-tanks,10,4.5,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",8,0,1,1,0
151,Clear Intention Shirt,https://shop.lululemon.com/p/womens-t-shirts/Clear-Intention-Shirt-MD/_/prod9920074,29,98,"['2', '2', '2', '0', '4']",['None listed'],womens-t-shirts,10,2.8,['None listed'],None listed,2,2,2,0,4
152,To The Beat Tank *lululemon X SoulCycle,https://shop.lululemon.com/p/women-tanks/To-The-Beat-Tank-MD/_/prod9201249,49,68,"['0', '1', '2', '0', '0']",['None listed'],women-tanks,3,3.3333333333333335,['None listed'],None listed,0,1,2,0,0
153,Azal Long Sleeve *lululemon lab,https://shop.lululemon.com/p/tops-long-sleeve/Azal-LS-Print-MD/_/prod10260125,89,148,"['0', '0', '0', '0', '0']","['93% Recycled nylon', '7% Elastane']",tops-long-sleeve,0,0.0,"['Elastane', 'Recycled nylon']","Elastane,Recycled nylon",0,0,0,0,0
154,Esker Cropped Tank *lululemon lab,https://shop.lululemon.com/p/women-tanks/Esker-Cropped-Tank-MD/_/prod9491557,49,108,"['5', '2', '0', '2', '2']","['80% Tencel® lyocell', '15% Linen', '5% Elastane']",women-tanks,11,3.5454545454545454,"['Elastane', 'Linen', 'Tencel® lyocell']","Elastane,Linen,Tencel® lyocell",5,2,0,2,2
155,Ever Ready Long Sleeve *Brushed Modal,https://shop.lululemon.com/p/tops-long-sleeve/Ever-Ready-Long-Sleeve-Modal-MD/_/prod10410024,44,64,"['27', '1', '1', '2', '0']","['95% Modal', '5% Elastane']",tops-long-sleeve,31,4.709677419354839,"['Elastane', 'Modal']","Elastane,Modal",27,1,1,2,0
156,Sarala Short Sleeve Tee *lululemon lab,https://shop.lululemon.com/p/men-ss-tops/Sarala-SS-Tee-MD/_/prod10210191,39,98,"['1', '1', '1', '1', '1']","['65% Recycled nylon', '30% Nylon', '5% Elastane', '80% Tencel® lyocell', '15% Linen', '5% Elastane']",men-ss-tops,5,3.0,"['Elastane', 'Linen', 'Nylon', 'Recycled nylon', 'Tencel® lyocell']","Elastane,Linen,Nylon,Recycled nylon,Tencel® lyocell",1,1,1,1,1
157,Cates Tee *Veil,https://shop.lululemon.com/p/womens-t-shirts/Cates-Tee-Veil-MD/_/prod10210207,39,58,"['14', '2', '1', '0', '1']","['55% Viscose', '45% Polyester', '35% Polyester', '65% Viscose']",womens-t-shirts,18,4.555555555555555,"['Polyester', 'Viscose']","Polyester,Viscose",14,2,1,0,1
158,Adapt to You Tank,https://shop.lululemon.com/p/women-tanks/Adapt-to-You-Tank-MD/_/prod10140105,29,49,"['29', '8', '4', '1', '2']","['92% Pima cotton', '8% Lycra® elastane', '92% Lenzing® modal', '8% Elastane']",women-tanks,44,4.386363636363637,"['Elastane', 'Lenzing® modal', 'Lycra® elastane', 'Pima cotton']","Elastane,Lenzing® modal,Lycra® elastane,Pima cotton",29,8,4,1,2
159,Full Day Ahead Shirt,https://shop.lululemon.com/p/tops-long-sleeve/Full-Day-Ahead-Shirt-MD/_/prod9710365,29,98,"['104', '52', '36', '38', '58']","['61% Cotton', '32% Polyester', '7% Lycra® elastane']",tops-long-sleeve,288,3.3680555555555554,"['Cotton', 'Lycra® elastane', 'Polyester']","Cotton,Lycra® elastane,Polyester",104,52,36,38,58
160,Sheer Will Tank *Pulse,https://shop.lululemon.com/p/women-tanks/Sheer-Will-Tank-Pulse-MD/_/prod9790034,29,58,"['42', '15', '6', '3', '7']","['73% Nylon', '27% Xtra life lycra® elastane']",women-tanks,73,4.123287671232877,"['Nylon', 'Xtra life lycra® elastane']","Nylon,Xtra life lycra® elastane",42,15,6,3,7
161,Stronger as One Muscle Tank,https://shop.lululemon.com/p/women-tanks/Stronger-as-One-Muscle-Tank-MD/_/prod10070226,39,58,"['21', '2', '3', '2', '9']","['75% Polyester', '19% Lyocell', '3% Lycra® elastane', '3% X-static® nylon']",women-tanks,37,3.6486486486486487,"['Lycra® elastane', 'Lyocell', 'Polyester', 'X-static® nylon']","Lycra® elastane,Lyocell,Polyester,X-static® nylon",21,2,3,2,9
162,Dynamic Days Tank,https://shop.lululemon.com/p/women-tanks/Dynamic-Days-Tank-MD/_/prod10040063,39,68,"['3', '1', '5', '1', '1']","['78% Nylon', '22% Lycra® elastane', '100% Polyester']",women-tanks,11,3.3636363636363638,"['Lycra® elastane', 'Nylon', 'Polyester']","Lycra® elastane,Nylon,Polyester",3,1,5,1,1
163,Kosaten Long Sleeve *lululemon lab,https://shop.lululemon.com/p/tops-long-sleeve/LAB-Kosaten-LS-MD/_/prod10000130,39,148,"['9', '0', '3', '1', '6']","['80% Tencel® lyocell', '15% Linen', '5% Elastane']",tops-long-sleeve,19,3.263157894736842,"['Elastane', 'Linen', 'Tencel® lyocell']","Elastane,Linen,Tencel® lyocell",9,0,3,1,6
164,Swiftly Tech Short Sleeve 2.0 TYO,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-Short-Sleeve-2-TYO-MD/_/prod10420052,69,78,"['0', '0', '0', '0', '0']","['50% Nylon', '44% Recycled polyester', '3% Elastane', '3% X-static® nylon']",tops-short-sleeve,0,0.0,"['Elastane', 'Nylon', 'Recycled polyester', 'X-static® nylon']","Elastane,Nylon,Recycled polyester,X-static® nylon",0,0,0,0,0
