,product_name,url,current_price,old_price,stars,material,type,total_reviews,avg_rating,material_clean,material_clean_list,five_stars,four_stars,three_stars,two_stars,one_stars
58,All Aligned Mock Neck Long Sleeve *Nulu,https://shop.lululemon.com/p/tops-long-sleeve/All-Aligned-Mock-Neck-Long-Sleeve/_/prod9960613,78,78,"['51', '10', '7', '2', '6']","['80% Nylon', '20% Lycra® elastane']",tops-long-sleeve,76,4.2894736842105265,"['Lycra® elastane', 'Nylon']","Lycra® elastane,Nylon",51,10,7,2,6
59,Breeze By Long Sleeve *Squad,https://shop.lululemon.com/p/tops-long-sleeve/Breeze-By-Long-Sleeve-Squad/_/prod8900601,78,78,"['115', '27', '19', '15', '13']","['66% Nylon', '31% Polyester', '3% X-static® nylon']",tops-long-sleeve,189,4.142857142857143,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",115,27,19,15,13
60,Power Pivot Tank *Everlux,https://shop.lululemon.com/p/women-tanks/Power-Pivot-Tank-Everlux/_/prod9820381,58,58,"['9', '2', '3', '0', '2']","['77% Nylon', '23% Lycra® elastane']",women-tanks,16,4.0,"['Lycra® elastane', 'Nylon']","Lycra® elastane,Nylon",9,2,3,0,2
61,All Yours Tank *Graphic,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-Graphic/_/prod10400394,48,48,"['1', '0', '0', '0', '0']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']",women-tanks,1,5.0,"['Lycra® elastane', 'Lyocell', 'Pima cotton']","Lycra® elastane,Lyocell,Pima cotton",1,0,0,0,0
62,Runderful Long Sleeve Rulu™ *Brushed,https://shop.lululemon.com/p/tops-long-sleeve/Runderful-LS-Brushed/_/prod1900037,88,88,"['24', '12', '5', '2', '1']","['91% Nylon', '9% Elastane', '88% Polyester', '12% Lycra® elastane']",tops-long-sleeve,44,4.2727272727272725,"['Elastane', 'Lycra® elastane', 'Nylon', 'Polyester']","Elastane,Lycra® elastane,Nylon,Polyester",24,12,5,2,1
63,It's Rulu Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Its-Rulu-Long-Sleeve/_/prod9200634,88,88,"['55', '8', '7', '5', '4']","['91% Nylon', '9% Lycra® elastane', '72% Nylon', '28% Xtra life lycra® elastane']",tops-long-sleeve,79,4.329113924050633,"['Lycra® elastane', 'Nylon', 'Xtra life lycra® elastane']","Lycra® elastane,Nylon,Xtra life lycra® elastane",55,8,7,5,4
64,Power Y Tank *Luon,https://shop.lululemon.com/p/women-tanks/Power-Y-Tank-Luon/_/prod1870029,52,52,"['582', '252', '120', '101', '83']",['None listed'],women-tanks,1138,4.009666080843585,['None listed'],None listed,582,252,120,101,83
65,Love Tee IV,https://shop.lululemon.com/p/womens-t-shirts/Love-Tee-Iv/_/prod8351148,48,48,"['0', '0', '0', '0', '0']",['None listed'],womens-t-shirts,0,0.0,['None listed'],None listed,0,0,0,0,0
66,Cool Racerback *Luxtreme,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-luxtreme/_/prod450026,48,48,"['15', '1', '6', '1', '1']","['74% Nylon', '26% Lycra® elastane']",women-tanks,24,4.166666666666667,"['Lycra® elastane', 'Nylon']","Lycra® elastane,Nylon",15,1,6,1,1
67,Wunder Train Cropped Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Wunder-Train-Cropped-Long-Sleeve/_/prod9960900,88,88,"['21', '10', '5', '6', '3']","['77% Nylon', '23% Lycra® elastane']",tops-long-sleeve,45,3.888888888888889,"['Lycra® elastane', 'Nylon']","Lycra® elastane,Nylon",21,10,5,6,3
